#Classification	210222Fox_D21-2140_bracken_species.kreport2	210222Fox_D21-2142_bracken_species.kreport2	210222Fox_D21-2143_bracken_species.kreport2	210222Fox_D21-2144_bracken_species.kreport2	210222Fox_D21-2145_bracken_species.kreport2	210222Fox_D21-2146_bracken_species.kreport2	210222Fox_D21-2147_bracken_species.kreport2	210713Fox_D21-6682_bracken_species.kreport2	210713Fox_D21-6683_bracken_species.kreport2	210713Fox_D21-6684_bracken_species.kreport2	210713Fox_D21-6685_bracken_species.kreport2	210713Fox_D21-6686_bracken_species.kreport2	210713Fox_D21-6687_bracken_species.kreport2	210713Fox_D21-6688_bracken_species.kreport2	210713Fox_D21-6689_bracken_species.kreport2	210713Fox_D21-6690_bracken_species.kreport2	210713Fox_D21-6691_bracken_species.kreport2	210713Fox_D21-6692_bracken_species.kreport2	210713Fox_D21-6693_bracken_species.kreport2
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Eimeriidae|g__Cyclospora|s__Cyclospora_cayetanensis	43	88	89	77	49	54	37	12	12	21	34	28	35	13	29	42	39	22	18
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Eimeriidae|g__Eimeria|s__Eimeria_tenella	18	38	30	42	13	0	0	0	0	0	0	0	0	13	0	13	30	0	0
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Eimeriidae|g__Eimeria|s__Eimeria_necatrix	32	73	40	41	27	40	0	31	15	20	12	17	15	12	14	14	26	18	16
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Eimeriidae|g__Eimeria|s__Eimeria_acervulina	40	98	71	85	74	66	72	25	40	20	41	47	39	45	26	32	43	35	56
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Eimeriidae|g__Eimeria|s__Eimeria_praecox	53	112	72	74	45	56	55	0	26	0	43	34	17	24	0	53	25	16	33
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Eimeriidae|g__Eimeria|s__Eimeria_brunetti	56	124	101	78	85	65	78	23	28	42	54	56	49	47	35	64	86	29	38
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Eimeriidae|g__Eimeria|s__Eimeria_maxima	58	89	111	81	57	67	48	27	28	25	41	42	21	30	21	23	71	18	22
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Eimeriidae|g__Eimeria|s__Eimeria_mitis	62	118	75	117	63	63	52	29	30	29	71	40	45	34	42	57	56	24	41
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Eimeriidae|g__Eimeria|s__Eimeria_falciformis	76	135	176	165	94	124	84	51	52	49	73	77	62	51	68	60	90	60	50
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida|f__Sarcocystidae|g__Neospora|s__Neospora_caninum	176	437	488	344	361	332	245	83	57	68	142	124	209	100	155	172	163	67	55
